id,drug,rxcui,major_interaction,adverse_outcome,naranjo_score,annotator_id,notes
1,aspirin,1191,True,False,5,annotatorB,Agrees: bleeding risk with anticoagulants
2,warfarin,3094,True,True,8,annotatorB,Agrees
3,ibuprofen,5640,True,False,3,annotatorB,Considers NSAID-NSAID interactions major in elderly
4,metformin,860975,False,False,1,annotatorB,Agrees
5,lisinopril,83367,False,False,2,annotatorB,Does not consider spironolactone interaction as major
6,simvastatin,5271,True,False,3,annotatorB,Agrees
7,atorvastatin,31619,True,False,3,annotatorB,Agrees
8,clopidogrel,135565,True,True,6,annotatorB,Agrees
9,amiodarone,197361,True,True,7,annotatorB,Agrees
10,sertraline,22072,False,False,2,annotatorB,Agrees
11,fluoxetine,4446,True,False,4,annotatorB,Agrees
12,digoxin,5976,True,True,8,annotatorB,Agrees
13,furosemide,3440,False,False,1,annotatorB,Agrees
14,spironolactone,997,True,False,4,annotatorB,Disagrees on adverse_outcome severity
15,insulin,75506,False,True,7,annotatorB,Agrees that severe hypoglycaemia is possible
